,Example,Idiom
328,"""Let's put this fight behind us and start fresh with a clean slate.""",clean slate.
329,"They caught him dead to rights, with the stolen goods still in his hands.",dead to rights
330,John did a double take when he saw his ex-girlfriend walking towards him.,do a double take
331,"If we don't come up with a solution soon, things will go hard with our business.",hard with
332,"""Ann suggested that they go halves on the rent for their new apartment.""",halves.
333,"""I'm all set to go, just let me grab my jacket.""",I'm all set
334,"The family's house may have burned down, but it's an ill wind that blows no one any good as they now have the means to start over and rebuild.",it's an ill wind that blows no one any good
335,"Despite being a jack of all trades, Sarah was always able to handle any task that came her way at the hardware store.",a jack of all trades
336,The bakery and coffee shop decided to join forces and offer a joint discount to customers in order to compete with the new chain store.,join forces
337,"""I've never had a car accident, knock on wood.""",knock on wood
338,"The boss told the new employee, ""Don't worry, you'll get the hang of things and know the ropes soon enough.""",know the ropes
339,"The groom-to-be wanted to have one last fling before settling down, so he convinced his friends to join him on a wild trip to Las Vegas.",Last fling
340,"""They really laid it on thick about this guy, saying he's the most charming and successful person they've ever met.""",Lay it on thick
341,The company's unexpected bankruptcy left its employees high and dry without any severance pay.,Leave high and dry
342,The panicked employees were running around like chickens with their heads cut off trying to meet the deadline.,Like a chicken with its head cut off
343,The hunters were loaded for bear as they set out on their expedition into the forest.,Loaded for bear
344,"The officer points his gun at the criminal and says, ""Go ahead, make my day,"" with a smirk on his face.",make my day
345,"""After all that effort, the car still won't start. It's not worth a damn.""",not worth a damn
346,"""I'm sorry, but our policy states that we cannot issue refunds for used products. No can do.""",no can do
347,"""Hiking in the rain with blisters on your feet is definitely no picnic.""",no picnic
348,The manager quickly put the new employee in their place after they tried to take charge of the project.,put someone in their place
349,"After a long week of studying, we decided to paint the town red for my friend's birthday.",paint the town red
350,The gambler decided to push his luck and bet all of his winnings on one last hand of poker.,push one's luck
351,"When the boss is out of town, the employees tend to slack off and ignore their work responsibilities. But when he returns, they have to pay the piper.",pay the piper
352,"""The politician's attempt to queer the pitch by spreading misleading statistics was quickly shut down by fact-checkers.""",queer the pitch
353,"The coworker's attempts to quell the storm were successful, and the two were able to come to a peaceful resolution.",quell the storm
354,"Today is a red-letter day for the family, as they finally get to celebrate their parents' 50 years of marriage with a surprise party.",red-letter day
355,"The rain was coming down so hard, it was like cats and dogs were falling from the sky.",rain cats and dogs
356,"She was able to ride the wave all the way to the shore, impressing the judges with her skills.",ride the wave
357,He saw red when he found out that his car had been stolen.,see red
358,"""Hey, let's grab some beers and shoot the breeze for a while.""",shoot the breeze
359,"Despite his attempts to backtrack, the damage was already done - his slip of the tongue had exposed his true beliefs.",slip of the tongue
360,"""If anyone finds out about the money you received under the table, you could get in serious trouble.""",under the table
361,"""I have a very vested interest in this company's success, as I have put in a significant amount of capital.""",very; vested interest
362,"Despite not having the strongest voice, the contestant's x-factor won over the judges and earned her a spot in the finals.",x-factor
363,"""I wish I had x-ray vision like Superman,"" said John, as he tried to see through the wall.",x-ray vision
364,"After a few unsuccessful attempts, I decided to just x out the whole project and start over from scratch.",x out.
365,"""You know what they say, you can't teach an old dog new tricks. It's just too difficult for him to learn at this age.""",You can't teach an old dog new tricks
366,"""Context: Two friends are talking about their financial struggles. One friend mentions that they are having a hard time keeping in touch with their friends because they can't afford to go out.",You're in the same boat
367,"With his back against the wall, John scrambled to find a solution to complete the project on time.",Your back is against the wall
368,"""I think you have the wrong guy, detective. You're barking up the wrong tree.""",You're barking up the wrong tree
369,"""You're on thin ice,"" the other friend warned.",You're on thin ice
370,"The audience was delighted by the zany antics of the clowns, as they slipped and stumbled around the stage, making everyone laugh.",zany antics
